#multi:
	mass A		mass B		
t	x	vx	x	vx	
0.000	-0.166		0.163	
0.017	-0.166	1.630E-2	0.163	-1.933E-2
0.033	-0.166	1.314E-2	0.163	-1.304E-2
0.050	-0.165	7.974E-3	0.162	-6.517E-3
0.067	-0.165	1.151E-3	0.162	3.634E-4
0.083	-0.165	-5.957E-3	0.162	8.958E-4
0.100	-0.166	-6.571E-3	0.162	4.180E-3
0.117	-0.166	-1.185E-2	0.163	1.211E-2
0.133	-0.166	-1.813E-2	0.163	1.931E-2
0.150	-0.166	-2.029E-2	0.163	2.350E-2
0.167	-0.167	-2.614E-2	0.164	2.670E-2
0.183	-0.167	-3.277E-2	0.164	3.118E-2
0.200	-0.168	-4.284E-2	0.165	3.191E-2
0.217	-0.169	-4.468E-2	0.165	3.541E-2
0.233	-0.169	-4.487E-2	0.166	4.438E-2
0.250	-0.170	-5.200E-2	0.167	5.263E-2
0.267	-0.171	-5.715E-2	0.168	5.253E-2
0.283	-0.172	-5.862E-2	0.168	5.917E-2
0.300	-0.173	-6.107E-2	0.170	6.508E-2
0.317	-0.174	-6.533E-2	0.171	6.444E-2
0.333	-0.175	-6.947E-2	0.172	7.224E-2
0.350	-0.176	-7.491E-2	0.173	7.514E-2
0.367	-0.178	-7.829E-2	0.174	7.479E-2
0.383	-0.179	-8.149E-2	0.175	7.922E-2
0.400	-0.180	-8.336E-2	0.177	8.376E-2
0.417	-0.182	-8.495E-2	0.178	8.218E-2
0.433	-0.183	-9.158E-2	0.180	8.989E-2
0.450	-0.185	-9.469E-2	0.181	9.090E-2
0.467	-0.186	-9.693E-2	0.183	9.173E-2
0.483	-0.188	-0.102	0.184	9.823E-2
0.500	-0.190	-9.717E-2	0.186	9.433E-2
0.517	-0.191	-0.101	0.187	9.733E-2
0.533	-0.193	-0.103	0.189	0.103
0.550	-0.195	-9.909E-2	0.191	0.103
0.567	-0.196	-0.102	0.193	9.998E-2
0.583	-0.198	-0.104	0.194	9.775E-2
0.600	-0.200	-0.102	0.196	0.100
0.617	-0.201	-0.108	0.198	0.103
0.633	-0.203	-0.108	0.199	0.104
0.650	-0.205	-0.102	0.201	0.102
0.667	-0.207	-0.104	0.203	0.101
0.683	-0.208	-0.103	0.204	0.101
0.700	-0.210	-9.541E-2	0.206	9.657E-2
0.717	-0.212	-9.271E-2	0.208	9.521E-2
0.733	-0.213	-9.911E-2	0.209	9.483E-2
0.750	-0.215	-9.202E-2	0.211	9.336E-2
0.767	-0.216	-8.470E-2	0.212	8.883E-2
0.783	-0.218	-8.706E-2	0.214	8.689E-2
0.800	-0.219	-8.867E-2	0.215	8.656E-2
0.817	-0.221	-8.441E-2	0.217	7.943E-2
0.833	-0.222	-8.071E-2	0.218	7.447E-2
0.850	-0.223	-7.804E-2	0.219	7.352E-2
0.867	-0.225	-7.129E-2	0.220	6.989E-2
0.883	-0.226	-6.958E-2	0.221	6.566E-2
0.900	-0.227	-7.025E-2	0.223	6.063E-2
0.917	-0.228	-6.110E-2	0.224	5.899E-2
0.933	-0.229	-5.156E-2	0.225	5.588E-2
0.950	-0.230	-5.197E-2	0.225	5.249E-2
0.967	-0.231	-4.618E-2	0.226	4.899E-2
0.983	-0.231	-3.586E-2	0.227	3.957E-2
1.000	-0.232	-3.654E-2	0.228	3.315E-2
1.017	-0.233	-3.294E-2	0.228	2.920E-2
1.033	-0.233	-2.577E-2	0.229	2.297E-2
