#multi:
	mass A		mass B		
t	x	vx	x	vx	
0.000	-0.230		0.174	
0.017	-0.232	-0.104	0.174	5.885E-2
0.033	-0.233	-0.101	0.175	5.716E-2
0.050	-0.235	-9.603E-2	0.176	5.686E-2
0.067	-0.237	-9.463E-2	0.177	6.072E-2
0.083	-0.238	-9.018E-2	0.178	6.048E-2
0.100	-0.240	-8.521E-2	0.179	5.795E-2
0.117	-0.241	-8.503E-2	0.180	5.898E-2
0.133	-0.242	-7.914E-2	0.181	5.865E-2
0.150	-0.244	-6.985E-2	0.182	5.335E-2
0.167	-0.245	-6.592E-2	0.183	5.460E-2
0.183	-0.246	-6.479E-2	0.184	5.461E-2
0.200	-0.247	-5.893E-2	0.185	5.437E-2
0.217	-0.248	-5.867E-2	0.186	5.740E-2
0.233	-0.249	-5.099E-2	0.187	5.461E-2
0.250	-0.249	-3.985E-2	0.188	4.625E-2
0.267	-0.250	-4.080E-2	0.188	4.737E-2
0.283	-0.251	-3.358E-2	0.189	5.150E-2
0.300	-0.251	-2.664E-2	0.190	4.824E-2
0.317	-0.252	-2.480E-2	0.191	4.808E-2
0.333	-0.252	-1.531E-2	0.192	4.394E-2
0.350	-0.252	-6.187E-3	0.192	3.846E-2
0.367	-0.252	-3.078E-3	0.193	3.713E-2
0.383	-0.252	2.682E-3	0.194	3.710E-2
0.400	-0.252	1.028E-2	0.194	3.526E-2
0.417	-0.252	1.531E-2	0.195	3.195E-2
0.433	-0.252	1.986E-2	0.195	3.258E-2
0.450	-0.251	2.095E-2	0.196	3.120E-2
0.467	-0.251	2.914E-2	0.196	2.503E-2
0.483	-0.250	3.824E-2	0.197	2.147E-2
0.500	-0.250	4.258E-2	0.197	2.488E-2
0.517	-0.249	5.140E-2	0.198	2.393E-2
0.533	-0.248	5.710E-2	0.198	1.927E-2
0.550	-0.247	6.227E-2	0.198	1.707E-2
0.567	-0.246	6.902E-2	0.198	1.746E-2
0.583	-0.245	7.112E-2	0.199	1.023E-2
0.600	-0.244	7.623E-2	0.199	3.579E-3
0.617	-0.242	8.292E-2	0.199	1.769E-3
0.633	-0.241	8.664E-2	0.199	-9.689E-4
0.650	-0.239	8.717E-2	0.199	5.100E-4
0.667	-0.238	9.205E-2	0.199	-2.150E-3
0.683	-0.236	9.970E-2	0.199	-4.396E-3
0.700	-0.235	0.100	0.199	-8.598E-3
0.717	-0.233	0.108	0.198	-5.738E-3
0.733	-0.231	0.111	0.199	-6.308E-3
0.750	-0.229	0.109	0.198	-1.683E-2
0.767	-0.227	0.116	0.198	-1.766E-2
0.783	-0.225	0.119	0.198	-1.750E-2
0.800	-0.223	0.119	0.197	-1.827E-2
0.817	-0.221	0.120	0.197	-1.918E-2
0.833	-0.219	0.126	0.197	-2.333E-2
0.850	-0.217	0.133	0.196	-2.170E-2
